"ID";"TO_SERVICE";"XPRESSBEES_SERVICE";"DHL_SERVICE";"BLUEDART_SERVICE";"GATI_SERVICE";"DPWORLD_SERVICE"
32;110032;"Normal";"Non-ODA";"Normal";"";"DIRECT"
33;110033;"Normal";"Non-ODA";"Normal";"";"DIRECT"
34;110034;"Normal";"Non-ODA";"Normal";"";"DIRECT"
35;110035;"Normal";"Non-ODA";"Normal";"";"DIRECT"
36;110036;"Normal";"Non-ODA";"Normal";"";"DIRECT"
37;110037;"Normal";"Non-ODA";"Normal";"";"DIRECT"
38;110038;"Normal";"Non-ODA";"Normal";"";"DIRECT"
39;110039;"Normal";"Non-ODA";"Normal";"";"DIRECT"
40;110040;"Normal";"Non-ODA";"Normal";"";"DIRECT"
41;110041;"Normal";"Non-ODA";"Normal";"";"DIRECT"
42;110042;"Normal";"Non-ODA";"Normal";"";"DIRECT"
43;110043;"Normal";"Non-ODA";"Normal";"";"DIRECT"
44;110044;"Normal";"Non-ODA";"Normal";"";"DIRECT"
45;110045;"Normal";"Non-ODA";"Normal";"";"DIRECT"
46;110046;"Normal";"Non-ODA";"Normal";"";"DIRECT"
47;110047;"Normal";"Non-ODA";"Normal";"";"DIRECT"
48;110048;"Normal";"Non-ODA";"Normal";"";"DIRECT"
49;110049;"Normal";"Non-ODA";"Normal";"";"DIRECT"
50;110051;"Normal";"Non-ODA";"Normal";"";"DIRECT"
51;110052;"Normal";"Non-ODA";"Normal";"";"DIRECT"
52;110053;"Normal";"Non-ODA";"Normal";"";"DIRECT"
53;110054;"Normal";"Non-ODA";"Normal";"";"DIRECT"
54;110055;"Normal";"Non-ODA";"Normal";"";"DIRECT"
55;110056;"Normal";"Non-ODA";"Normal";"";"DIRECT"
56;110057;"Normal";"Non-ODA";"Normal";"";"DIRECT"
57;110058;"Normal";"Non-ODA";"Normal";"";"DIRECT"
58;110059;"Normal";"Non-ODA";"Normal";"";"DIRECT"
59;110060;"Normal";"Non-ODA";"Normal";"";"DIRECT"
60;110061;"Normal";"Non-ODA";"Normal";"";"DIRECT"
61;110062;"Normal";"Non-ODA";"Normal";"";"DIRECT"
62;110063;"Normal";"Non-ODA";"Normal";"";"DIRECT"
63;110064;"Normal";"Non-ODA";"Normal";"";"DIRECT"
64;110065;"Normal";"Non-ODA";"Normal";"";"DIRECT"
65;110066;"Normal";"Non-ODA";"Normal";"";"DIRECT"
66;110067;"Normal";"Non-ODA";"Normal";"";"DIRECT"
67;110068;"Normal";"Non-ODA";"Normal";"";"DIRECT"
68;110069;"Normal";"Non-ODA";"Normal";"";"DIRECT"
69;110070;"Normal";"Non-ODA";"Normal";"";"DIRECT"
70;110071;"Normal";"Non-ODA";"Normal";"";"DIRECT"
71;110072;"Normal";"Non-ODA";"Normal";"";"DIRECT"
72;110073;"Normal";"Non-ODA";"Normal";"";"DIRECT"
73;110074;"Normal";"Non-ODA";"Normal";"";"DIRECT"
74;110075;"Normal";"Non-ODA";"Normal";"";"DIRECT"
75;110076;"Normal";"Non-ODA";"Normal";"";"DIRECT"
76;110077;"Normal";"Non-ODA";"Normal";"";"DIRECT"
77;110078;"Normal";"Non-ODA";"Normal";"";"DIRECT"
78;110080;"Normal";"NSL";"Normal";"";"DIRECT"
79;110081;"Normal";"Non-ODA";"Normal";"";"DIRECT"
80;110082;"Normal";"Non-ODA";"Normal";"";"DIRECT"
81;110083;"Normal";"Non-ODA";"Normal";"";"DIRECT"
82;110084;"Normal";"Non-ODA";"Normal";"";"DIRECT"
83;110085;"Normal";"Non-ODA";"Normal";"";"DIRECT"
84;110086;"Normal";"Non-ODA";"Normal";"";"DIRECT"
85;110087;"Normal";"Non-ODA";"Normal";"";"DIRECT"
86;110088;"Normal";"Non-ODA";"Normal";"";"DIRECT"
87;110089;"Normal";"Non-ODA";"Normal";"";"DIRECT"
88;110090;"Normal";"NSL";"Normal";"";"DIRECT"
89;110091;"Normal";"Non-ODA";"Normal";"";"DIRECT"
90;110092;"Normal";"Non-ODA";"Normal";"";"DIRECT"
91;110093;"Normal";"Non-ODA";"Normal";"";"DIRECT"
92;110094;"Normal";"Non-ODA";"Normal";"";"DIRECT"
93;110095;"Normal";"Non-ODA";"Normal";"";"DIRECT"
94;110096;"Normal";"Non-ODA";"Normal";"";"DIRECT"
95;110097;"Normal";"NSL";"Normal";"";"DIRECT"
96;110099;"Normal";"NSL";"NSL";"";"NSL"
97;110110;"Normal";"NSL";"Normal";"";"DIRECT"
98;121001;"Normal";"Non-ODA";"Normal";"";"DIRECT"
99;121002;"Normal";"Non-ODA";"Normal";"";"DIRECT"
100;121003;"Normal";"Non-ODA";"Normal";"";"DIRECT"
101;121004;"Normal";"Non-ODA";"Normal";"";"DIRECT"
102;121005;"Normal";"Non-ODA";"Normal";"";"DIRECT"
103;121006;"Normal";"Non-ODA";"Normal";"";"DIRECT"
104;121007;"Normal";"Non-ODA";"Normal";"";"DIRECT"
105;121008;"Normal";"Non-ODA";"Normal";"";"DIRECT"
106;121009;"Normal";"Non-ODA";"Normal";"";"DIRECT"
107;121010;"Normal";"Non-ODA";"Normal";"";"DIRECT"
108;121012;"Normal";"NSL";"Normal";"";"DIRECT"
109;121013;"Normal";"NSL";"Normal";"";"DIRECT"
110;121014;"ODA";"NSL";"Normal";"";"DIRECT"
111;121015;"Normal";"NSL";"Normal";"";"DIRECT"
112;121101;"Normal";"Non-ODA";"Normal";"";"EDL1"
113;121102;"ODA";"Non-ODA";"Normal";"";"EDL1"
114;121103;"Normal";"Non-ODA";"EDL";"";"EDL1"
115;121105;"Normal";"Non-ODA";"EDL";"";"EDL1"
116;121106;"ODA";"Non-ODA";"EDL";"";"EDL1"
117;121107;"ODA";"Non-ODA";"EDL";"";"EDL1"
118;122001;"Normal";"Non-ODA";"Normal";"";"DIRECT"
119;122002;"Normal";"Non-ODA";"Normal";"";"DIRECT"
120;122003;"Normal";"Non-ODA";"Normal";"";"DIRECT"
121;122004;"Normal";"Non-ODA";"Normal";"";"DIRECT"
122;122005;"Normal";"Non-ODA";"Normal";"";"DIRECT"
123;122006;"Normal";"Non-ODA";"Normal";"";"DIRECT"
124;122007;"Normal";"NSL";"Normal";"";"DIRECT"
125;122008;"Normal";"Non-ODA";"Normal";"";"DIRECT"
126;122009;"Normal";"Non-ODA";"Normal";"";"DIRECT"
127;122010;"Normal";"Non-ODA";"Normal";"";"EDL1"
128;122011;"Normal";"Non-ODA";"Normal";"";"EDL1"
129;122012;"Normal";"NSL";"Normal";"";"DIRECT"
130;122015;"Normal";"Non-ODA";"Normal";"";"DIRECT"
131;122016;"Normal";"Non-ODA";"Normal";"";"DIRECT"
132;122017;"Normal";"Non-ODA";"Normal";"";"DIRECT"
133;122018;"Normal";"Non-ODA";"Normal";"";"DIRECT"
134;122051;"Normal";"Non-ODA";"Normal";"";"DIRECT"
135;122052;"Normal";"NSL";"Normal";"";"DIRECT"
136;122098;"ODA";"NSL";"Normal";"";"NSL"
137;122101;"Normal";"Non-ODA";"Normal";"";"DIRECT"
138;122102;"Normal";"Non-ODA";"Normal";"";"EDL1"
139;122103;"Normal";"Non-ODA";"Normal";"";"DIRECT"
140;122104;"NSL";"Non-ODA";"Normal";"";"EDL2"
141;122105;"Normal";"Non-ODA";"Normal";"";"DIRECT"
142;122107;"ODA";"Non-ODA";"Normal";"";"NSL"
143;122108;"ODA";"Non-ODA";"EDL";"";"NSL"
144;122413;"Normal";"Non-ODA";"Normal";"";"DIRECT"
145;122414;"Normal";"NSL";"Normal";"";"DIRECT"
146;122502;"Normal";"Non-ODA";"EDL";"";"DIRECT"
147;122503;"Normal";"Non-ODA";"Normal";"";"DIRECT"
148;122504;"Normal";"Non-ODA";"Normal";"";"DIRECT"
149;122505;"Normal";"Non-ODA";"Normal";"";"DIRECT"
150;122506;"Normal";"Non-ODA";"Normal";"";"DIRECT"
151;122508;"NSL";"Non-ODA";"NSL";"";"NSL"
152;123001;"NSL";"Non-ODA";"EDL";"";"EDL1"
153;123021;"NSL";"Non-ODA";"EDL";"";"NSL"
154;123023;"NSL";"Non-ODA";"EDL";"";"NSL"
155;123024;"NSL";"Non-ODA";"EDL";"";"NSL"
156;123027;"NSL";"Non-ODA";"EDL";"";"EDL1"
157;123028;"NSL";"Non-ODA";"EDL";"";"EDL1"
158;123029;"NSL";"Non-ODA";"EDL";"";"EDL1"
159;123031;"NSL";"NSL";"EDL";"";"NSL"
160;123034;"NSL";"Non-ODA";"EDL";"";"NSL"
161;123035;"Normal";"Non-ODA";"EDL";"";"EDL1"
162;123101;"ODA";"Non-ODA";"EDL";"";"EDL1"
163;123102;"ODA";"Non-ODA";"EDL";"";"EDL1"
164;123103;"ODA";"Non-ODA";"EDL";"";"EDL1"
165;123106;"ODA";"Non-ODA";"Normal";"";"DIRECT"
166;123110;"Normal";"Non-ODA";"Normal";"";"DIRECT"
167;123301;"Normal";"Non-ODA";"EDL";"";"EDL3"
168;123302;"ODA";"Non-ODA";"EDL";"";"EDL1"
169;123303;"ODA";"Non-ODA";"EDL";"";"NSL"
170;123401;"ODA";"Non-ODA";"Normal";"";"DIRECT"
171;123411;"ODA";"Non-ODA";"EDL";"";"EDL1"
172;123412;"NSL";"Non-ODA";"EDL";"";"EDL1"
173;123501;"ODA";"Non-ODA";"Normal";"";"DIRECT"
174;124001;"Normal";"Non-ODA";"Normal";"";"DIRECT"
175;124010;"Normal";"NSL";"EDL";"";"EDL1"
176;124021;"Normal";"Non-ODA";"Normal";"";"DIRECT"
177;124022;"Normal";"Non-ODA";"NSL";"";"EDL2"
178;124102;"ODA";"Non-ODA";"EDL";"";"EDL1"
179;124103;"Normal";"Non-ODA";"EDL";"";"DIRECT"
180;124104;"Normal";"Non-ODA";"EDL";"";"EDL1"
181;124105;"Normal";"Non-ODA";"EDL";"";"DIRECT"
182;124106;"ODA";"Non-ODA";"EDL";"";"EDL1"
183;124107;"ODA";"Non-ODA";"EDL";"";"EDL1"
184;124108;"Normal";"Non-ODA";"Normal";"";"DIRECT"
185;124109;"ODA";"Non-ODA";"EDL";"";"EDL1"
186;124111;"NSL";"Non-ODA";"EDL";"";"EDL1"
187;124112;"NSL";"Non-ODA";"EDL";"";"EDL1"
188;124113;"NSL";"Non-ODA";"NSL";"";"EDL1"
189;124141;"ODA";"Non-ODA";"EDL";"";"NSL"
190;124142;"ODA";"Non-ODA";"EDL";"";"EDL1"
191;124146;"ODA";"Non-ODA";"EDL";"";"EDL2"
192;124201;"ODA";"Non-ODA";"EDL";"";"EDL1"
193;124202;"ODA";"Non-ODA";"EDL";"";"EDL1"
194;124303;"NSL";"Non-ODA";"EDL";"";"EDL1"
195;124401;"ODA";"Non-ODA";"EDL";"";"DIRECT"
196;124404;"Normal";"Non-ODA";"EDL";"";"DIRECT"
197;124406;"ODA";"Non-ODA";"EDL";"";"EDL1"
198;124411;"Normal";"Non-ODA";"EDL";"";"EDL1"
199;124412;"Normal";"Non-ODA";"EDL";"";"EDL1"
200;124501;"Normal";"Non-ODA";"EDL";"";"DIRECT"
201;124504;"Normal";"Non-ODA";"EDL";"";"EDL1"
202;124505;"Normal";"Non-ODA";"EDL";"";"EDL1"
203;124506;"Normal";"Non-ODA";"EDL";"";"EDL1"
204;124507;"Normal";"Non-ODA";"Normal";"";"EDL1"
205;124508;"Normal";"Non-ODA";"EDL";"";"EDL1"
206;124513;"NSL";"Non-ODA";"NSL";"";"EDL1"
207;124514;"NSL";"Non-ODA";"EDL";"";"EDL1"
208;125001;"Normal";"Non-ODA";"Normal";"";"EDL4"
209;125004;"Normal";"Non-ODA";"Normal";"";"NSL"
210;125005;"Normal";"Non-ODA";"Normal";"";"EDL4"
211;125006;"Normal";"Non-ODA";"EDL";"";"NSL"
212;125007;"Normal";"Non-ODA";"Normal";"";"NSL"
213;125011;"Normal";"Non-ODA";"EDL";"";"NSL"
214;125033;"Normal";"Non-ODA";"Normal";"";"NSL"
215;125037;"ODA";"Non-ODA";"EDL";"";"NSL"
216;125038;"ODA";"Non-ODA";"NSL";"";"NSL"
217;125039;"ODA";"Non-ODA";"EDL";"";"NSL"
218;125042;"ODA";"Non-ODA";"EDL";"";"NSL"
219;125044;"Normal";"Non-ODA";"Normal";"";"EDL4"
220;125047;"ODA";"Non-ODA";"EDL";"";"NSL"
221;125048;"ODA";"Non-ODA";"EDL";"";"NSL"
222;125049;"Normal";"Non-ODA";"EDL";"";"NSL"
223;125050;"Normal";"Non-ODA";"Normal";"";"NSL"
224;125051;"NSL";"Non-ODA";"Normal";"";"NSL"
225;125052;"ODA";"Non-ODA";"Normal";"";"NSL"
226;125053;"ODA";"Non-ODA";"EDL";"";"NSL"
227;125054;"NSL";"Non-ODA";"EDL";"";"NSL"
228;125055;"Normal";"Non-ODA";"Normal";"";"EDL4"
229;125056;"NSL";"Non-ODA";"NSL";"";"NSL"
230;125058;"NSL";"Non-ODA";"EDL";"";"NSL"
231;125060;"NSL";"Non-ODA";"EDL";"";"NSL"
232;125075;"NSL";"Non-ODA";"EDL";"";"NSL"
233;125076;"NSL";"Non-ODA";"EDL";"";"NSL"
234;125077;"NSL";"Non-ODA";"EDL";"";"NSL"
235;125078;"NSL";"Non-ODA";"EDL";"";"NSL"
236;125101;"NSL";"Non-ODA";"EDL";"";"NSL"
237;125102;"NSL";"Non-ODA";"EDL";"";"NSL"
238;125103;"NSL";"Non-ODA";"EDL";"";"NSL"
239;125104;"NSL";"Non-ODA";"EDL";"";"NSL"
240;125106;"NSL";"Non-ODA";"NSL";"";"NSL"
241;125110;"NSL";"Non-ODA";"EDL";"";"NSL"
242;125111;"ODA";"Non-ODA";"EDL";"";"NSL"
243;125112;"ODA";"Non-ODA";"EDL";"";"NSL"
244;125113;"ODA";"Non-ODA";"EDL";"";"NSL"
245;125120;"ODA";"Non-ODA";"Normal";"";"NSL"
246;125121;"ODA";"Non-ODA";"EDL";"";"NSL"
247;125133;"NSL";"Non-ODA";"Normal";"";"NSL"
248;125201;"NSL";"Non-ODA";"EDL";"";"NSL"
249;126101;"NSL";"Non-ODA";"EDL";"";"EDL1"
250;126102;"NSL";"Non-ODA";"EDL";"";"EDL1"
251;126110;"NSL";"Non-ODA";"EDL";"";"EDL1"
252;126111;"NSL";"Non-ODA";"EDL";"";"EDL2"
253;126112;"NSL";"Non-ODA";"EDL";"";"EDL2"
254;126113;"NSL";"Non-ODA";"EDL";"";"EDL2"
255;126114;"NSL";"Non-ODA";"EDL";"";"EDL1"
256;126115;"NSL";"Non-ODA";"EDL";"";"NSL"
257;126116;"NSL";"Non-ODA";"EDL";"";"EDL3"
258;126125;"NSL";"NSL";"EDL";"";"EDL2"
259;126152;"NSL";"Non-ODA";"EDL";"";"EDL2"
260;127021;"Normal";"Non-ODA";"Normal";"";"NSL"
261;127022;"NSL";"Non-ODA";"EDL";"";"NSL"
262;127025;"NSL";"Non-ODA";"EDL";"";"NSL"
263;127026;"NSL";"Non-ODA";"EDL";"";"NSL"
264;127027;"NSL";"Non-ODA";"EDL";"";"NSL"
265;127028;"NSL";"Non-ODA";"NSL";"";"NSL"
266;127029;"NSL";"Non-ODA";"NSL";"";"NSL"
267;127030;"NSL";"Non-ODA";"EDL";"";"NSL"
268;127031;"NSL";"Non-ODA";"EDL";"";"NSL"
269;127032;"NSL";"Non-ODA";"EDL";"";"NSL"
270;127035;"ODA";"Non-ODA";"EDL";"";"NSL"
271;127040;"NSL";"Non-ODA";"EDL";"";"NSL"
272;127041;"NSL";"Non-ODA";"EDL";"";"NSL"
273;127042;"NSL";"Non-ODA";"NSL";"";"NSL"
274;127043;"NSL";"Non-ODA";"EDL";"";"NSL"
275;127045;"ODA";"Non-ODA";"EDL";"";"NSL"
276;127046;"NSL";"Non-ODA";"EDL";"";"NSL"
277;127111;"Normal";"Non-ODA";"EDL";"";"NSL"
278;127114;"NSL";"Non-ODA";"NSL";"";"NSL"
279;127201;"NSL";"Non-ODA";"EDL";"";"NSL"
280;127306;"NSL";"Non-ODA";"EDL";"";"NSL"
281;127307;"NSL";"Non-ODA";"NSL";"";"NSL"
282;127308;"NSL";"Non-ODA";"EDL";"";"NSL"
283;127309;"NSL";"Non-ODA";"EDL";"";"NSL"
284;127310;"NSL";"Non-ODA";"EDL";"";"NSL"
285;127311;"NSL";"NSL";"NSL";"";"NSL"
286;127312;"NSL";"NSL";"NSL";"";"NSL"
287;131001;"Normal";"Non-ODA";"Normal";"";"DIRECT"
288;131021;"Normal";"Non-ODA";"Normal";"";"DIRECT"
289;131022;"ODA";"Non-ODA";"EDL";"";"NSL"
290;131023;"Normal";"Non-ODA";"EDL";"";"DIRECT"
291;131024;"Normal";"Non-ODA";"EDL";"";"NSL"
292;131027;"Normal";"Non-ODA";"Normal";"";"DIRECT"
293;131028;"Normal";"Non-ODA";"Normal";"";"DIRECT"
294;131029;"Normal";"Non-ODA";"EDL";"";"DIRECT"
295;131030;"Normal";"Non-ODA";"EDL";"";"NSL"
296;131039;"Normal";"Non-ODA";"EDL";"";"NSL"
297;131101;"Normal";"Non-ODA";"Normal";"";"EDL1"
298;131102;"ODA";"Non-ODA";"EDL";"";"NSL"
299;131103;"Normal";"Non-ODA";"NSL";"";"DIRECT"
300;131301;"ODA";"Non-ODA";"EDL";"";"EDL1"
301;131302;"ODA";"Non-ODA";"EDL";"";"NSL"
302;131304;"ODA";"Non-ODA";"EDL";"";"NSL"
303;131305;"ODA";"Non-ODA";"EDL";"";"NSL"
304;131306;"Normal";"Non-ODA";"EDL";"";"NSL"
305;131402;"Normal";"Non-ODA";"EDL";"";"EDL1"
306;131403;"Normal";"Non-ODA";"EDL";"";"DIRECT"
307;131408;"Normal";"Non-ODA";"EDL";"";"NSL"
308;131409;"ODA";"Non-ODA";"EDL";"";"NSL"
309;132001;"Normal";"Non-ODA";"Normal";"";"EDL1"
310;132022;"Normal";"Non-ODA";"EDL";"";"NSL"
311;132023;"Normal";"Non-ODA";"NSL";"";"NSL"
312;132024;"NSL";"Non-ODA";"EDL";"";"NSL"
313;132036;"ODA";"Non-ODA";"NSL";"";"NSL"
314;132037;"Normal";"Non-ODA";"Normal";"";"NSL"
315;132039;"ODA";"Non-ODA";"EDL";"";"NSL"
316;132040;"ODA";"Non-ODA";"EDL";"";"NSL"
317;132041;"Normal";"Non-ODA";"NSL";"";"NSL"
318;132046;"ODA";"Non-ODA";"EDL";"";"NSL"
319;132054;"ODA";"Non-ODA";"EDL";"";"NSL"
320;132101;"Normal";"Non-ODA";"EDL";"";"EDL1"
321;132102;"Normal";"Non-ODA";"EDL";"";"NSL"
322;132103;"Normal";"Non-ODA";"Normal";"";"EDL2"
323;132104;"Normal";"Non-ODA";"EDL";"";"NSL"
324;132105;"Normal";"Non-ODA";"Normal";"";"NSL"
325;132106;"Normal";"Non-ODA";"Normal";"";"NSL"
326;132107;"ODA";"Non-ODA";"EDL";"";"NSL"
327;132108;"Normal";"Non-ODA";"EDL";"";"NSL"
328;132113;"ODA";"Non-ODA";"EDL";"";"NSL"
329;132114;"Normal";"Non-ODA";"EDL";"";"NSL"
330;132115;"Normal";"Non-ODA";"EDL";"";"NSL"
331;132116;"Normal";"Non-ODA";"Normal";"";"NSL"
332;132117;"Normal";"Non-ODA";"Normal";"";"NSL"
333;132122;"Normal";"Non-ODA";"EDL";"";"NSL"
334;132140;"Normal";"Non-ODA";"EDL";"";"NSL"
335;132145;"Normal";"Non-ODA";"EDL";"";"NSL"
336;132157;"NSL";"Non-ODA";"EDL";"";"NSL"
337;133001;"Normal";"Non-ODA";"Normal";"";"DIRECT"
338;133004;"Normal";"Non-ODA";"Normal";"";"DIRECT"
339;133005;"Normal";"Non-ODA";"Normal";"";"DIRECT"
340;133006;"Normal";"Non-ODA";"Normal";"";"DIRECT"
341;133008;"Normal";"NSL";"EDL";"";"EDL1"
342;133010;"Normal";"NSL";"EDL";"";"DIRECT"
343;133101;"Normal";"Non-ODA";"EDL";"";"EDL1"
344;133102;"Normal";"Non-ODA";"EDL";"";"DIRECT"
345;133103;"Normal";"Non-ODA";"EDL";"";"NSL"
346;133104;"Normal";"Non-ODA";"EDL";"";"DIRECT"
347;133201;"ODA";"Non-ODA";"EDL";"";"EDL1"
348;133202;"Normal";"Non-ODA";"EDL";"";"EDL1"
349;133203;"Normal";"Non-ODA";"EDL";"";"EDL1"
350;133204;"ODA";"Non-ODA";"EDL";"";"NSL"
351;133205;"Normal";"Non-ODA";"EDL";"";"DIRECT"
352;133206;"ODA";"Non-ODA";"EDL";"";"NSL"
353;133207;"Normal";"Non-ODA";"EDL";"";"EDL1"
354;133301;"Normal";"Non-ODA";"EDL";"";"EDL1"
355;133302;"ODA";"Non-ODA";"Normal";"";"DIRECT"
356;134003;"Normal";"Non-ODA";"Normal";"";"DIRECT"
357;134005;"Normal";"NSL";"Normal";"";"DIRECT"
358;134007;"Normal";"Non-ODA";"Normal";"";"DIRECT"
359;134008;"ODA";"NSL";"EDL";"";"DIRECT"
360;134101;"Normal";"Non-ODA";"Normal";"";"EDL1"
361;134102;"Normal";"Non-ODA";"Normal";"";"EDL1"
362;134103;"Normal";"Non-ODA";"EDL";"";"EDL1"
363;134104;"Normal";"Non-ODA";"Normal";"";"EDL1"
364;134105;"ODA";"NSL";"EDL";"";"EDL1"
365;134107;"ODA";"Non-ODA";"EDL";"";"EDL1"
366;134108;"Normal";"Non-ODA";"Normal";"";"EDL1"
367;134109;"Normal";"Non-ODA";"Normal";"";"EDL1"
368;134112;"Normal";"Non-ODA";"Normal";"";"EDL1"
369;134113;"Normal";"Non-ODA";"Normal";"";"EDL1"
370;134114;"Normal";"Non-ODA";"Normal";"";"EDL1"
371;134116;"Normal";"Non-ODA";"Normal";"";"EDL1"
372;134117;"Normal";"NSL";"EDL";"";"EDL1"
373;134118;"ODA";"Non-ODA";"EDL";"";"EDL1"
374;134201;"Normal";"Non-ODA";"EDL";"";"DIRECT"
375;134202;"ODA";"Non-ODA";"EDL";"";"EDL1"
376;134203;"ODA";"Non-ODA";"EDL";"";"EDL1"
377;134204;"ODA";"Non-ODA";"Normal";"";"EDL1"
378;134205;"ODA";"Non-ODA";"EDL";"";"EDL1"
379;135001;"Normal";"Non-ODA";"Normal";"";"EDL1"
380;135002;"ODA";"Non-ODA";"Normal";"";"NSL"
381;135003;"Normal";"Non-ODA";"Normal";"";"NSL"
382;135004;"ODA";"NSL";"EDL";"";"NSL"
383;135021;"NSL";"Non-ODA";"EDL";"";"NSL"
384;135101;"ODA";"Non-ODA";"EDL";"";"NSL"
385;135102;"ODA";"Non-ODA";"EDL";"";"NSL"
386;135103;"Normal";"Non-ODA";"EDL";"";"NSL"
387;135106;"NSL";"Non-ODA";"EDL";"";"NSL"
388;135133;"ODA";"Non-ODA";"EDL";"";"NSL"
389;136020;"NSL";"Non-ODA";"EDL";"";"EDL1"
390;136021;"NSL";"Non-ODA";"EDL";"";"EDL2"
391;136026;"NSL";"Non-ODA";"EDL";"";"NSL"
392;136027;"NSL";"Non-ODA";"EDL";"";"EDL3"
393;136030;"ODA";"Non-ODA";"EDL";"";"EDL1"
394;136033;"NSL";"Non-ODA";"EDL";"";"NSL"
395;136034;"NSL";"Non-ODA";"EDL";"";"NSL"
396;136035;"NSL";"Non-ODA";"EDL";"";"NSL"
397;136038;"Normal";"Non-ODA";"EDL";"";"EDL1"
398;136042;"NSL";"Non-ODA";"EDL";"";"NSL"
399;136043;"NSL";"Non-ODA";"EDL";"";"NSL"
400;136044;"NSL";"Non-ODA";"EDL";"";"NSL"
401;136117;"NSL";"Non-ODA";"EDL";"";"NSL"
402;136118;"Normal";"Non-ODA";"Normal";"";"EDL1"
403;136119;"Normal";"Non-ODA";"Normal";"";"EDL1"
404;136128;"ODA";"Non-ODA";"EDL";"";"EDL1"
405;136129;"ODA";"Non-ODA";"EDL";"";"EDL1"
406;136130;"Normal";"Non-ODA";"EDL";"";"EDL1"
407;136131;"Normal";"Non-ODA";"Normal";"";"EDL1"
408;136132;"ODA";"Non-ODA";"EDL";"";"EDL1"
409;136134;"Normal";"NSL";"NSL";"";"NSL"
410;136135;"Normal";"Non-ODA";"EDL";"";"DIRECT"
411;136136;"Normal";"Non-ODA";"EDL";"";"EDL1"
412;136156;"Normal";"Non-ODA";"EDL";"";"EDL1"
413;140001;"Normal";"Non-ODA";"Normal";"";"EDL2"
414;140101;"ODA";"Non-ODA";"EDL";"";"EDL1"
415;140102;"NSL";"Non-ODA";"EDL";"";"EDL1"
416;140103;"ODA";"Non-ODA";"EDL";"";"EDL2"
417;140108;"Normal";"Non-ODA";"EDL";"";"EDL2"
418;140109;"Normal";"Non-ODA";"EDL";"";"EDL1"
419;140110;"Normal";"Non-ODA";"EDL";"";"EDL1"
420;140111;"ODA";"Non-ODA";"EDL";"";"EDL4"
421;140112;"NSL";"Non-ODA";"EDL";"";"EDL1"
422;140113;"Normal";"Non-ODA";"EDL";"";"EDL2"
423;140114;"NSL";"Non-ODA";"EDL";"";"EDL1"
424;140115;"NSL";"Non-ODA";"EDL";"";"EDL2"
425;140116;"NSL";"Non-ODA";"EDL";"";"NSL"
426;140117;"NSL";"Non-ODA";"EDL";"";"NSL"
427;140118;"NSL";"Non-ODA";"EDL";"";"NSL"
428;140119;"NSL";"Non-ODA";"EDL";"";"EDL2"
429;140123;"NSL";"Non-ODA";"EDL";"";"NSL"
430;140124;"NSL";"Non-ODA";"NSL";"";"NSL"
431;140125;"NSL";"Non-ODA";"EDL";"";"EDL2"
432;140126;"NSL";"Non-ODA";"EDL";"";"NSL"
433;140127;"NSL";"NSL";"NSL";"";"NSL"
434;140128;"NSL";"NSL";"NSL";"";"NSL"
